epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,2527.43,1.56305,1.81276,1.4192,1.64051,0.45822,0.55263,0.4926,0.22084,0.41416,0.5,0.4328,0.1688,1.85238,1.92784,1.98287,1.86262,0.001604,0.001604,0.001604
102,2551.6,1.55515,1.84161,1.36706,1.60605,0.40786,0.34211,0.41742,0.22639,0.43924,0.36842,0.4237,0.17857,1.78577,1.90381,2.0166,1.86954,0.00160004,0.00160004,0.00160004
103,2576.47,1.53882,1.78255,1.41101,1.5946,0.5666,0.42105,0.4643,0.21456,0.51782,0.39474,0.44863,0.17201,1.91335,1.87858,2.13263,1.99054,0.00159608,0.00159608,0.00159608
104,2601.8,1.58295,1.86401,1.45992,1.65171,0.51003,0.60526,0.50859,0.20636,0.48241,0.57895,0.4724,0.18069,2.20337,2.07564,1.94903,2.09981,0.00159212,0.00159212,0.00159212
105,2625.79,1.64207,1.8186,1.45504,1.61998,0.52128,0.71647,0.66361,0.28919,0.52128,0.71647,0.64794,0.23432,2.00618,2.00515,1.65672,2.00152,0.00158816,0.00158816,0.00158816
106,2651.38,1.54221,1.78164,1.43452,1.66034,0.4436,0.65051,0.53495,0.24582,0.44822,0.63158,0.54093,0.23785,1.86922,2.0757,1.78419,1.90707,0.0015842,0.0015842,0.0015842
107,2676.71,1.61817,1.87908,1.52294,1.69553,0.58779,0.45038,0.50343,0.23249,0.46864,0.60526,0.50945,0.21648,1.90096,1.96048,1.91859,1.9785,0.00158024,0.00158024,0.00158024
108,2701.47,1.55171,1.87449,1.40912,1.60023,0.46291,0.47636,0.46825,0.20998,0.47321,0.55263,0.44437,0.17421,1.96772,1.97751,2.01837,1.9601,0.00157628,0.00157628,0.00157628
109,2725.78,1.5798,1.92634,1.4643,1.5626,0.54982,0.54651,0.52341,0.22755,0.50999,0.44737,0.47823,0.16898,1.99585,2.06715,1.91168,2.02815,0.00157232,0.00157232,0.00157232
110,2750.8,1.53642,1.92429,1.4232,1.62494,0.54408,0.52632,0.50685,0.23036,0.51687,0.5,0.49271,0.16831,1.86476,1.8895,1.90061,2.02425,0.00156836,0.00156836,0.00156836
111,2776.01,1.53044,1.83993,1.45578,1.58983,0.48852,0.55263,0.48494,0.22298,0.45605,0.52632,0.47316,0.17106,2.0232,1.96054,1.87344,2.07493,0.0015644,0.0015644,0.0015644
112,2800.16,1.4835,1.82625,1.41789,1.56687,0.41297,0.55544,0.47487,0.21709,0.39958,0.55263,0.46708,0.17016,2.01193,1.91192,1.84788,2.01248,0.00156044,0.00156044,0.00156044
113,2824.49,1.48683,1.81843,1.30908,1.54838,0.60391,0.52172,0.54822,0.24139,0.49455,0.48939,0.4854,0.21472,2.03063,1.88823,1.89457,2.03667,0.00155648,0.00155648,0.00155648
114,2849.64,1.57854,1.81489,1.3126,1.6294,0.76169,0.44737,0.55777,0.25084,0.61217,0.42105,0.55246,0.20731,2.02156,1.95233,1.94041,2.024,0.00155252,0.00155252,0.00155252
115,2874.72,1.51226,1.80206,1.30782,1.57411,0.45342,0.56772,0.50984,0.24681,0.44529,0.55263,0.4904,0.2054,1.87163,1.85195,1.94658,1.87351,0.00154856,0.00154856,0.00154856
116,2898.59,1.49555,1.76483,1.33137,1.55487,0.4493,0.52632,0.54248,0.27399,0.43401,0.55263,0.52049,0.2266,1.87321,1.81042,1.82648,1.92255,0.0015446,0.0015446,0.0015446
117,2923.06,1.514,1.90123,1.33472,1.58504,0.51869,0.57895,0.54578,0.25419,0.51869,0.57895,0.54863,0.19495,1.97631,1.93738,1.9363,1.95426,0.00154064,0.00154064,0.00154064
118,2948.54,1.49034,1.78964,1.25287,1.56369,0.4916,0.55263,0.54043,0.23706,0.46482,0.57151,0.49312,0.18049,1.99372,1.90616,1.8497,1.99472,0.00153668,0.00153668,0.00153668
119,2972.82,1.52518,1.89893,1.37909,1.59364,0.51538,0.5,0.56097,0.24346,0.41549,0.57895,0.49743,0.20484,2.05167,1.95409,1.68384,2.01897,0.00153272,0.00153272,0.00153272
120,2996.94,1.57958,1.8438,1.37778,1.63152,0.44672,0.65789,0.53195,0.25975,0.46953,0.65789,0.54492,0.20791,1.93698,1.93464,1.82211,2.04357,0.00152876,0.00152876,0.00152876
